id,slug,shortDescription,latitude,longitude,locationAccuracy,address,county,country,operator,name,classifications,icon,operational,permittedInstallationLicenseIssued,firstImportedAt,lastImportedAt
"4036","7554-es442650000011-cerdos-vinaceite","Granja de porcina en Zaragoza","41.269112","-0.551232","Coordinates","Polígono 506 Parcela 48, Vinaceite, 44591, Teruel, España","Zaragoza","Aragón","Pequerul E Hijos S.c.","Cerdos-vinaceite","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"644","9170-granja-sole","Granja de porcina en Lérida","41.768189","0.959637","Coordinates","Pol. 25 Parc. 1, 25334, Penelles, Lleida, España","Lérida","Cataluña","Josep Sole Ganyet","Granja Solé","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"805","7112-jose-manuel-martinez-gallarte","Granja de porcina en Valencia","39.8997","-1.013507","Coordinates","Poligono 23, Parcelas 122, 123 Y 177, 46178, Alpuente, Valencia/valència, España","Valencia","Comunidad Valenciana","Jose Manuel Martinez Gallarte","Jose Manuel Martinez Gallarte","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1035","8839-can-nicolau","Granja de porcina y cerdas en Girona","41.939801","3.146937","Coordinates","Paratge Bonida , 2      Llofriu, 17200, Palafrugell, Girona, España","Girona","Catalunya","Josep Nicolau Estañol","Can Nicolau","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1154","5565-granja-agas-i","Granja de avícola en Cuenca","39.5445","-1.9357","Coordinates","Ctra. La Roda, Cm-3114, Km 43,5. Motilla Del Palancar  16.200 (cuenca), Motilla Del Palancar, 16200, Cuenca, España","Cuenca","Castilla-La Mancha","Granja Agas, S.a.","Granja Agas I.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1285","1727-esperanza-no-4","Granja de porcina y cerdas en Murcia","37.95","-1.48","Coordinates","La Esperanza, S/n, Mula, 30840, Murcia, España","Murcia","Región de Murcia","Cefu, S.a.","Esperanza Nº 4","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1340","1841-agropecuaria-obanos-penalfons","Granja de porcina y cerdas en Navarra","42.28111","-1.74802","Coordinates","Marcilla-villaffranca, Villafranca, 31330, Navarra, España","Navarra","Navarra","Agropecuaria Obanos Sa","Agropecuaria Obanos-peñalfons","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1469","8679-centeporc-s-l-navas-de-oro","Granja de porcina y cerdas en Segovia","41.199864","-4.423622","Coordinates","Polígono, Navas De Oro, 40470, Segovia, España","Segovia","Castilla y León","Centeporc S. L.","Centeporc S. L.-navas De Oro","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1847","8764-es220890000034-cerdos-castillonroy","Granja de porcina en Huesca","41.885624","0.513378","Coordinates","Parcela 32 Del Polígono 2 Y Parcela 61 Del Polígono, Castillonroy, 22572, Huesca, España","Huesca","Aragón","Mauriste,sl.","Cerdos-castillonroy","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2047","1324-granja-bassa-nova-9120bd","Granja de porcina en Lleida","41.684928","0.753954","Coordinates","Els Aubachs, 25690, Vilanova De La Barca, Lleida, España","Lleida","Catalunya","Bassa Nova S.l.","Granja Bassa Nova (9120bd)","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2326","1792-agropecuaria-san-fermin-sl","Granja de porcina y cerdas en Navarra","42.327585","-1.584864","Coordinates","28, Polígono 9, Rada, 31300, Murillo El Cuende, Navarra, España","Navarra","Navarra","Agropecuaria San Fermin, S.l.","Agropecuaria San Fermin, S.l.","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2352","6289-granja-txaparduia-sl","Granja de avícola en Navarra","42.77503","-2.13213","Coordinates","Pol. 8 Parc. 235, 236, Baquedano, 31272, Améscoa Baja, Navarra, España","Navarra","Navarra","Granja Txaparduia, S.l.","Granja Txaparduia, S.l.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
